cve,repositorio,url,commit_vulneravel,cwes,cwe_primario,arquivo,linhas,situacao,descricao
CVE-2017-16043,erming/shout,https://github.com/erming/shout.git,890c751bb624cde53dc392b2c851cdcd056033c6,CWE-079|CWE-116,CWE-079,client/js/shout.js,318,analisado,Client-side cross-site scripting
CVE-2017-16082,brianc/node-postgres,https://github.com/brianc/node-postgres.git,51a28c226519daaa3a2a3971128355d0440d3819,CWE-116|CWE-020,CWE-116,lib/result.js,72,analisado,Incomplete string escaping or encoding
CVE-2017-16083,sandy98/node-simple-router,https://github.com/sandy98/node-simple-router.git,91da4299aee0086cc1e0cc837763578af6f82cea,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,lib/router.js,734,analisado,Uncontrolled data used in path expression
CVE-2017-16084,KoryNunn/list-n-stream,https://github.com/KoryNunn/list-n-stream.git,87de3f13465e9d4d21eb75be8143cdc4085a19b3,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,server.js,88,analisado,Uncontrolled data used in path expression
CVE-2017-16087,vvakame/fs-git,https://github.com/vvakame/fs-git.git,50b33e3faec0b08183a699efb9b154c0d1495bee,CWE-078|CWE-088,CWE-078,lib/index.ts,38,analisado,Unsafe shell command constructed from library input
CVE-2017-16098,node-modules/charset,https://github.com/node-modules/charset.git,5ba8a4942f069d40584cf5a1a7938ff8dc92bcc9,CWE-730|CWE-400,CWE-400,index.js,44,analisado,Polynomial regular expression used on uncontrolled data
CVE-2017-16100,skoranga/node-dns-sync,https://github.com/skoranga/node-dns-sync.git,b748fe77a87749d95876028eda8e759109be4c73,CWE-078|CWE-088,CWE-078,lib/dns-sync.js,21,analisado,Unsafe shell command constructed from library input
CVE-2017-16107,Eeems/PooledWebSocket,https://github.com/Eeems/PooledWebSocket.git,d51217a285c1dc5851743d0756cc43c35d12737c,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,server.js,9,analisado,Uncontrolled data used in path expression
CVE-2017-16114,markedjs/marked,https://github.com/markedjs/marked.git,49b7eaca76d14ccd91f87decc11bbe213a6e0af4,CWE-730|CWE-400,CWE-400,lib/marked.js,459,analisado,Inefficient regular expression
CVE-2017-16117,Trott/node-slug,https://github.com/Trott/node-slug.git,85ded30a95760b19cd223abe668eade0279a21f2,CWE-730|CWE-400,CWE-400,slug.js,64,analisado,Polynomial regular expression used on uncontrolled data
CVE-2017-16118,jshttp/forwarded,https://github.com/jshttp/forwarded.git,ad1efeaf2315c1ccd25c1e5bccb21df626c1d12c,CWE-730|CWE-400,CWE-400,index.js,14,analisado,Polynomial regular expression used on uncontrolled data
CVE-2017-16119,jshttp/fresh,https://github.com/jshttp/fresh.git,ff5f257b575a70fae6268b9283f7d5796bcfde71,CWE-730|CWE-400,CWE-400,index.js,22,analisado,Polynomial regular expression used on uncontrolled data
CVE-2017-16136,expressjs/method-override,https://github.com/expressjs/method-override.git,5a7d6a1f2f16ba4ec2bbab3d67b98b30e1d8a0fe,CWE-730|CWE-400,CWE-400,index.js,120,analisado,Polynomial regular expression used on uncontrolled data
CVE-2017-16137,visionmedia/debug,https://github.com/visionmedia/debug.git,47747f329fe159e94262318b52b87a48f6c0acd4,CWE-730|CWE-400,CWE-400,src/node.js,86,analisado,Polynomial regular expression used on uncontrolled data
CVE-2017-16138,broofa/node-mime,https://github.com/broofa/node-mime.git,4a375abebfa3900921217daa270302e01a1c67ae,CWE-730|CWE-400,CWE-400,Mime.js,50,analisado,Polynomial regular expression used on uncontrolled data
CVE-2017-16224,isaacs/st,https://github.com/isaacs/st.git,ae7b6768c1d91dd48b368b2b921193fc2b36cff1,CWE-601,CWE-601,st.js,351,analisado,Server-side URL redirect
CVE-2017-16226,browserify/static-eval,https://github.com/browserify/static-eval.git,ab81134a43431457508bc2ead500f2d93ac0a71d,CWE-020|CWE-094,CWE-094,index.js,118,analisado,sandbox escape / arbitrary code execution
CVE-2017-16877,zeit/next.js,https://github.com/zeit/next.js.git,442c611d4956496afc8f32c3bb881f2d37e63960,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,server/render.js,218,analisado,Uncontrolled data used in path expression
CVE-2017-17461,markedjs/marked,https://github.com/markedjs/marked.git,900e50e22a9a8165e6de4df6a91265343fd584d9,CWE-730|CWE-400,CWE-400,lib/marked.js,460,analisado,Polynomial regular expression used on uncontrolled data
CVE-2017-18077,juliangruber/brace-expansion,https://github.com/juliangruber/brace-expansion.git,265f6cd6586383eebebbfc3c45da2eaa153d9e63,CWE-730|CWE-400,CWE-400,index.js,109,analisado,Inefficient regular expression
CVE-2017-18214,moment/moment,https://github.com/moment/moment.git,328d51e7235b7a2d443bfdf69c1844939c115660,CWE-730|CWE-400,CWE-400,src/lib/parse/regex.js,23,analisado,Polynomial regular expression used on uncontrolled data
CVE-2017-18352,GoogleChrome/rendertron,https://github.com/GoogleChrome/rendertron.git,16ade3208c80c3de8f8e36a05ad8242af1eeb7f4,CWE-079|CWE-116,CWE-079,src/main.js,106,analisado,Reflected cross-site scripting
CVE-2017-18353,GoogleChrome/rendertron,https://github.com/GoogleChrome/rendertron.git,16ade3208c80c3de8f8e36a05ad8242af1eeb7f4,CWE-079|CWE-116,CWE-079,src/main.js,130,analisado,Reflected cross-site scripting
CVE-2017-18354,GoogleChrome/rendertron,https://github.com/GoogleChrome/rendertron.git,16ade3208c80c3de8f8e36a05ad8242af1eeb7f4,CWE-918,CWE-918,src/renderer.js,75,analisado,Uncontrolled data used in network request
CVE-2017-18355,GoogleChrome/rendertron,https://github.com/GoogleChrome/rendertron.git,16ade3208c80c3de8f8e36a05ad8242af1eeb7f4,CWE-200,CWE-200,src/renderer.js,75,analisado,Exposure of private files
CVE-2017-18635,novnc/noVNC,https://github.com/novnc/noVNC.git,41f476a86357f1404fcca078212c702599bbcc57,CWE-079|CWE-116,CWE-079,app/ui.js,534,analisado,Exception text reinterpreted as HTML
CVE-2017-1000006,plotly/plotly.js,https://github.com/plotly/plotly.js.git,16e0fc29690c82282db91f99e651190afa0a9f87,CWE-079|CWE-116|CWE-020,CWE-079,src/lib/svg_text_utils.js,270,analisado,Incomplete HTML attribute sanitization
CVE-2017-1000219,KyleRoss/windows-cpu,https://github.com/KyleRoss/windows-cpu.git,da656c1a9d5edbf4e8bf0640f349aeb714a4f1a0,CWE-078|CWE-088,CWE-078,index.js,82,analisado,Unsafe shell command constructed from library input
CVE-2017-1000427,markedjs/marked,https://github.com/markedjs/marked.git,38f1727ffee0820975677027b8968bc1954e6637,CWE-020,CWE-020,lib/marked.js,878,analisado,Incomplete URL scheme check
CVE-2017-1001004,josdejong/typed-function,https://github.com/josdejong/typed-function.git,9a8cac3cb8ae89fd0a9b3ae2dfde27cd1aa5a60a,CWE-094|CWE-079|CWE-116,CWE-094,typed-function.js,1118,analisado,Code injection
CVE-2018-3712,zeit/serve,https://github.com/zeit/serve.git,ce95709c74873040308c88771821bfdaa569be52,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,lib/server.js,88,analisado,Uncontrolled data used in path expression
CVE-2018-3713,simonh1000/angular-http-server,https://github.com/simonh1000/angular-http-server.git,c1b677f493cc97cb63bbda1887d2a9d1b2bd4732,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,angular-http-server.js,76,analisado,Uncontrolled data used in path expression
CVE-2018-3718,zeit/serve,https://github.com/zeit/serve.git,2fece040fb87fed1afcb41c58afd8824482ee15e,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,lib/server.js,98,analisado,Uncontrolled data used in path expression
CVE-2018-3719,jonschlinkert/mixin-deep,https://github.com/jonschlinkert/mixin-deep.git,7705bdf88ff0263242c07c824d20526203876668,CWE-078|CWE-079|CWE-094|CWE-400|CWE-915,CWE-915,index.js,30,analisado,Prototype-polluting function
CVE-2018-3721,lodash/lodash,https://github.com/lodash/lodash.git,5a3ff73997b773a28a5a160b95acfd133a8162e7,CWE-078|CWE-079|CWE-094|CWE-400|CWE-915,CWE-915,lodash.js,2580,analisado,Prototype-polluting function
CVE-2018-3722,jonschlinkert/merge-deep,https://github.com/jonschlinkert/merge-deep.git,7be7e50163dc4ef467ace5371186a77028a66cc9,CWE-078|CWE-079|CWE-094|CWE-400|CWE-915,CWE-915,index.js,45,analisado,Prototype-polluting function
CVE-2018-3725,herber/hekto,https://github.com/herber/hekto.git,a3d942d8398a0907d0bbf2682f2fbd54ce73764e,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,bin/hekto.js,116|138|141|152|194,analisado,Uncontrolled data used in path expression
CVE-2018-3726,omphalos/crud-file-server,https://github.com/omphalos/crud-file-server.git,0c45fc64f0c0aeb23fe515c95e29f6485803de65,CWE-079|CWE-116,CWE-079,crud-file-server.js,143,analisado,Stored cross-site scripting
CVE-2018-3728,hapijs/hoek,https://github.com/hapijs/hoek.git,dfadda70b192adbcdf9a33ccc3caecfeb3dbe528,CWE-078|CWE-079|CWE-094|CWE-400|CWE-915,CWE-915,lib/index.js,129,analisado,Prototype-polluting function
CVE-2018-3731,tnantoka/public,https://github.com/tnantoka/public.git,c5c14107c00eb37c677eabcc5566938a0dee685c,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,bin/public,78,analisado,Uncontrolled data used in path expression
CVE-2018-3732,pillarjs/resolve-path,https://github.com/pillarjs/resolve-path.git,7330f714649ae4f10de73837f5c9fcfdc7979697,CWE-022,CWE-022,index.js,89,analisado,Lack of file path sanitization for windows based paths
CVE-2018-3733,omphalos/crud-file-server,https://github.com/omphalos/crud-file-server.git,833e7fcc2bc8406b9c76836a51ae173f50c56bf0,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,crud-file-server.js,66,analisado,Uncontrolled data used in path expression
CVE-2018-3736,TooTallNate/node-https-proxy-agent,https://github.com/TooTallNate/node-https-proxy-agent.git,c58d365dd153104d1147967a0a6b4e1dd1698e50,CWE-770,CWE-770,index.js,207,analisado,Resource exhaustion
CVE-2018-3737,joyent/node-sshpk,https://github.com/joyent/node-sshpk.git,4d01aede236ddfefa55ba9bef07308dca315603d,CWE-730|CWE-400,CWE-400,lib/formats/ssh.js,19,analisado,Polynomial regular expression used on uncontrolled data
CVE-2018-3738,protobufjs/protobuf.js,https://github.com/protobufjs/protobuf.js.git,b912005cae64176a296baa20b1f56de8a10105b1,CWE-730|CWE-400,CWE-400,src/parse.js,27,analisado,Inefficient regular expression
CVE-2018-3743,herber/hekto,https://github.com/herber/hekto.git,c33aaae609c7236a7cb555a62d8b99dfbcb5da09,CWE-601,CWE-601,bin/hekto.js,187,analisado,Server-side URL redirect
CVE-2018-3746,fagbokforlaget/pdfinfojs,https://github.com/fagbokforlaget/pdfinfojs.git,379c0e14db8298b465269653b9ac308d83eb6d4e,CWE-078|CWE-088,CWE-078,lib/pdfinfo.js,26,analisado,Unsafe shell command constructed from library input
CVE-2018-3747,tnantoka/public,https://github.com/tnantoka/public.git,6d152eb12b368df70c789aba84d27d01b854ee47,CWE-079|CWE-116,CWE-079,bin/public,111,analisado,Stored cross-site scripting
CVE-2018-3750,unclechu/node-deep-extend,https://github.com/unclechu/node-deep-extend.git,9653940a75c2ef2b1a503b24cbadd707cccffa8c,CWE-078|CWE-079|CWE-094|CWE-400|CWE-915,CWE-915,lib/deep-extend.js,137,analisado,Prototype-polluting function
CVE-2018-3752,schnittstabil/merge-options,https://github.com/schnittstabil/merge-options.git,45a889b92251c342453af40c5f8e3fad063b7ef6,CWE-078|CWE-079|CWE-094|CWE-400|CWE-915,CWE-915,index.js,73,analisado,Prototype-polluting function
CVE-2018-3757,roest01/node-pdf-image,https://github.com/roest01/node-pdf-image.git,5803471830e0227df33a4b645aefd6521ff441e0,CWE-078|CWE-088,CWE-078,index.js,116,analisado,Unsafe shell command constructed from library input
CVE-2018-3770,alanshaw/markdown-pdf,https://github.com/alanshaw/markdown-pdf.git,118c5c558b06d6bc950e92a01881417d996aecc6,CWE-094,CWE-094,index.js,57,analisado,Insecure default value: HTML supported by default
CVE-2018-3772,vvo/node-whereis,https://github.com/vvo/node-whereis.git,b8b642b1163baa37f15ed49b4064dcbdb6e1876c,CWE-078|CWE-088,CWE-078,index.js,4,analisado,Unsafe shell command constructed from library input
CVE-2018-3783,JasonEtco/flintcms,https://github.com/JasonEtco/flintcms.git,49e4b6a49e8ba378313845162cd32ba06a2681d6,CWE-089,CWE-089,server/apps/routes/auth.js,80,analisado,Database query built from user-controlled sources
CVE-2018-3786,eggjs/egg-scripts,https://github.com/eggjs/egg-scripts.git,08f8ea9429ee9727f5047af856d41c67de8ba23c,CWE-078|CWE-088,CWE-078,lib/cmd/start.js,235,analisado,Unsafe shell command constructed from library input
CVE-2018-6184,zeit/next.js,https://github.com/zeit/next.js.git,b5739d53614de76b937435ae1ef7867d40c9dac3,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,server/render.js,230,analisado,Uncontrolled data used in path expression
CVE-2018-6333,facebookarchive/nuclide,https://github.com/facebookarchive/nuclide.git,ee8e058c8b90cb008f3ee151c52aec40cad1174a,CWE-601,CWE-601,pkg/nuclide-hhvm/lib/main.js,129,analisado,Server-side URL redirect
CVE-2018-6341,facebook/react,https://github.com/facebook/react.git,c44c2a21614ed2e5d3078dcb24dc7ef086df24be,CWE-079,CWE-079,packages/react-dom/src/server/DOMMarkupOperations.js,64,analisado,Cross-site scripting due to incomplete sanitization of HTML attribute names
CVE-2018-6342,facebook/create-react-app,https://github.com/facebook/create-react-app.git,69c3d4b04c233ba9fb9d16691056bd09076177b1,CWE-078|CWE-088,CWE-078,packages/react-dev-utils/launchEditor.js,336,analisado,Uncontrolled command line
CVE-2018-7560,myshenin/aws-lambda-multipart-parser,https://github.com/myshenin/aws-lambda-multipart-parser.git,573ade8f4bf41acc7d78029d288f37104a650447,CWE-730|CWE-400,CWE-400,index.js,10,analisado,Regular expression injection
CVE-2018-7651,npm/ssri,https://github.com/npm/ssri.git,427f4233b0b3dd8c338e69e5cb0a6641df263603,CWE-730|CWE-400,CWE-400,index.js,12,analisado,Polynomial regular expression used on uncontrolled data
CVE-2018-8035,apache/uima-ducc,https://github.com/apache/uima-ducc.git,4c20c4fc00d5605ba40fac235df3ccf7dc38cb52,CWE-079|CWE-116,CWE-079,uima-ducc-web/src/main/webapp/root/js/ducc.js,2950,fora: commit inexistente,XSS through the `value` property of a DOM element which was supposed to be plain text
CVE-2018-11093,ckeditor/ckeditor5-link,https://github.com/ckeditor/ckeditor5-link.git,992bd11d68e0e6d37b5cb4be36afabe7b4b3e9eb,CWE-079|CWE-116,CWE-079,src/ui/linkactionsview.js,209,analisado,Client-side cross-site scripting
CVE-2018-11615,moscajs/mosca,https://github.com/moscajs/mosca.git,e61f7491519ff69732e91f5afa107cda4c4d271e,CWE-116|CWE-020,CWE-116,lib/persistence/mongo.js,270,analisado,Incomplete string escaping or encoding
CVE-2018-11798,apache/thrift,https://github.com/apache/thrift.git,d566da7739c9aae63fe7fc9d267887fa73e5dda7,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,lib/nodejs/lib/thrift/web_server.js,419,analisado,Uncontrolled data used in path expression
CVE-2018-13797,scravy/node-macaddress,https://github.com/scravy/node-macaddress.git,dd079620d11c91957ac897e88d539dfceec41d56,CWE-078|CWE-088,CWE-078,lib/linux.js,4,analisado,Unsafe shell command constructed from library input
CVE-2018-13863,mongodb/js-bson,https://github.com/mongodb/js-bson.git,e403bd94faadee80cd82bae888e28b8b4d6d1e8d,CWE-730|CWE-400,CWE-400,lib/bson/decimal128.js,5,analisado,Polynomial regular expression used on uncontrolled data
CVE-2018-14040,twbs/bootstrap,https://github.com/twbs/bootstrap.git,13bf8aeae3db71e28af69782328c22215795c169,CWE-079|CWE-116,CWE-079,js/collapse.js,140,analisado,Unsafe jQuery plugin
CVE-2018-14041,twbs/bootstrap,https://github.com/twbs/bootstrap.git,149096016f70fd815540d62c0989fd99cdc809e0,CWE-079|CWE-116,CWE-079,js/src/scrollspy.js,118,analisado,Unsafe jQuery plugin
CVE-2018-14042,twbs/bootstrap,https://github.com/twbs/bootstrap.git,13bf8aeae3db71e28af69782328c22215795c169,CWE-079|CWE-116,CWE-079,js/tooltip.js,207,analisado,Unsafe jQuery plugin
CVE-2018-14380,Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server.git,f4a6bf94bc084e58afc730881c1a746408e1f574,CWE-079|CWE-116,CWE-079,graylog2-web-interface/src/components/search/QueryInput.ts,51,analisado,Client-side cross-site scripting
CVE-2018-16460,UmbraEngineering/ps,https://github.com/UmbraEngineering/ps.git,facfbce24c0dc5505edbae759f4bb991f2724979,CWE-078|CWE-088,CWE-078,lib/index.js,8,analisado,Unsafe shell command constructed from library input
CVE-2018-16461,jas-/node-libnmap,https://github.com/jas-/node-libnmap.git,49b72239b144ab7ffdf673b62e18bfd0760948f6,CWE-078|CWE-088,CWE-078,lib/classes/tools.js,114,analisado,Unsafe shell command constructed from library input
CVE-2018-16462,vincentmorneau/apex-publish-static-files,https://github.com/vincentmorneau/apex-publish-static-files.git,8d28fe8a9a49e5ff3f61e239293b5646528e2915,CWE-078|CWE-088,CWE-078,index.js,54,analisado,Unsafe shell command constructed from library input
CVE-2018-16472,ashaffer/cached-path-relative,https://github.com/ashaffer/cached-path-relative.git,a63061a1c92cab1a9fd0e938fceeac26fedf30c4,CWE-250|CWE-400,,lib/index.js,39,analisado,Remote property injection
CVE-2018-16478,tikonen/blog,https://github.com/tikonen/blog.git,08ab167d21ca55e6bb5599fdd599e888c8cc667c,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,simplehttpserver/simplehttpserver.js,76,analisado,Uncontrolled data used in path expression
CVE-2018-16479,prahladyeri/http-live-simulator,https://github.com/prahladyeri/http-live-simulator.git,8e85a1be562248d0d616c0e5092a3d71bbf5fe5f,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,bin/http-live,94,analisado,Uncontrolled data used in path expression
CVE-2018-16480,tnantoka/public,https://github.com/tnantoka/public.git,6d152eb12b368df70c789aba84d27d01b854ee47,CWE-079|CWE-116,CWE-079,bin/public,111,analisado,Stored cross-site scripting
CVE-2018-16484,nunnly/m-server,https://github.com/nunnly/m-server.git,e4bf390a3a9180ba2298f3d68bc16d9a69187703,CWE-079|CWE-116,CWE-079,lib/index.js,39,analisado,Stored cross-site scripting
CVE-2018-16485,nunnly/m-server,https://github.com/nunnly/m-server.git,3fcc6771fb14e8452ca80364f5900af362df316f,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099,CWE-022,lib/index.js,11,analisado,Uncontrolled data used in path expression
CVE-2018-16487,lodash/lodash,https://github.com/lodash/lodash.git,67389a8c78975d97505fa15aa79bec6397749807,CWE-078|CWE-079|CWE-094|CWE-400|CWE-915,CWE-915,lodash.js,2573,analisado,Prototype-polluting function
CVE-2018-16489,angus-c/just,https://github.com/angus-c/just.git,f5549c99e72a6307ba9846e553db5a9aeef36d86,CWE-078|CWE-079|CWE-094|CWE-400|CWE-915,CWE-915,packages/object-extend/index.js,50,analisado,Prototype-polluting function
CVE-2018-16490,aheckmann/mpath,https://github.com/aheckmann/mpath.git,77204d7e5b0adb2100e862069a3c20d073df8f06,CWE-078|CWE-079|CWE-094|CWE-400|CWE-915,CWE-915,lib/index.js,272,analisado,Prototype-polluting function
CVE-2018-16491,dreamerslab/node.extend,https://github.com/dreamerslab/node.extend.git,91713698d86df0bad356f13ae2e68af7f226bce9,CWE-078|CWE-079|CWE-094|CWE-400|CWE-915,CWE-915,lib/extend.js,61,analisado,Prototype-polluting function
CVE-2018-16492,justmoon/node-extend,https://github.com/justmoon/node-extend.git,a689700740b44846e76f8f1dc4bdf230a2cb5c0d,CWE-078|CWE-079|CWE-094|CWE-400|CWE-915,CWE-915,index.js,77,analisado,Prototype-polluting function
CVE-2018-18282,zeit/next.js,https://github.com/zeit/next.js.git,ae56c7847f32173c0c6954a124fdaa749d44b5dc,CWE-094|CWE-079|CWE-116,CWE-094,server/document.js,190,analisado,Improper code sanitization
CVE-2018-19048,mycolorway/simditor,https://github.com/mycolorway/simditor.git,65d78cbfcb576f8963ba26a991c33d746be5add7,CWE-079|CWE-116,CWE-079,lib/simditor.js,2652,analisado,DOM text reinterpreted as HTML
CVE-2018-20164,ua-parser/uap-core,https://github.com/ua-parser/uap-core.git,4e97f111af71597d038eff1730fb8d7e4f4e7ae4,CWE-730|CWE-400,CWE-400,regexes.yaml,911,analisado,Inefficient regular expression
CVE-2018-20676,twbs/bootstrap,https://github.com/twbs/bootstrap.git,13bf8aeae3db71e28af69782328c22215795c169,CWE-079|CWE-116,CWE-079,js/tooltip.js,54,analisado,Unsafe jQuery plugin
CVE-2018-20677,twbs/bootstrap,https://github.com/twbs/bootstrap.git,13bf8aeae3db71e28af69782328c22215795c169,CWE-079|CWE-116,CWE-079,js/affix.js,19,analisado,Unsafe jQuery plugin
CVE-2018-20801,highcharts/highcharts,https://github.com/highcharts/highcharts.git,9bcb40d7cb6acb7f63345dfe3625378b91cd243a,CWE-730|CWE-400,CWE-400,js/parts/SvgRenderer.js,2430,analisado,Polynomial regular expression used on uncontrolled data
CVE-2018-20834,npm/node-tar,https://github.com/npm/node-tar.git,58a8d437abccd6dc884541b8bf6554901ec592cc,CWE-022,CWE-022,lib/unpack.js,403,analisado,"Arbitrary file write during zip extraction (""Zip Slip"")"
CVE-2018-20835,mafintosh/tar-fs,https://github.com/mafintosh/tar-fs.git,7b4ab17e950832cfd3e67421e48898fdb50318fc,CWE-022,CWE-022,index.js,266,analisado,"Arbitrary file write during zip extraction (""Zip Slip"")"
CVE-2018-21036,balderdashy/sails-hook-sockets,https://github.com/balderdashy/sails-hook-sockets.git,4f78b7946f7a7ac4c762936d7633298606c1e4a7,CWE-730,CWE-730,lib/receive-incoming-sails-io-msg.js,250,analisado,Server crash
CVE-2018-1000086,nprapps/pym.js,https://github.com/nprapps/pym.js.git,4b9016c30a930608e68dcd831176e1d089fab55b,CWE-079|CWE-116|CWE-601,CWE-601,src/pym.js,569,analisado,Client-side URL redirect
CVE-2018-1000096,brianleroux/tiny-json-http,https://github.com/brianleroux/tiny-json-http.git,41468a2ba952aa4d59c2fae20a7a7394d3b6d5d7,,,_read.js,41,fora: sem CWE,Disabling certificate validation
CVE-2018-1000620,hapijs/cryptiles,https://github.com/hapijs/cryptiles.git,96e63fd1605d5a85b19281e4741e28568d8c9822,CWE-327,CWE-327,lib/index.js,32,analisado,Creating biased random numbers from a cryptographically secure source.
CVE-2018-1002203,ZJONSSON/node-unzipper,https://github.com/ZJONSSON/node-unzipper.git,48bd69eaa3cbd30558bd218327ac103d1457e919,CWE-022,CWE-022,lib/extract.js,21,analisado,"Arbitrary file write during zip extraction (""Zip Slip"")"
CVE-2018-1002204,cthackers/adm-zip,https://github.com/cthackers/adm-zip.git,e116bc18df51e4e50c493cede82ae7696954b511,CWE-022,CWE-022,util/utils.js,109,analisado,"Arbitrary file write during zip extraction (""Zip Slip"")"
CVE-2019-5413,expressjs/morgan,https://github.com/expressjs/morgan.git,eb1968ac69a3d1ad98bacd06b738e9125630c3d3,CWE-094|CWE-079|CWE-116,CWE-094,index.js,391,analisado,Code injection
CVE-2019-5414,tiaanduplessis/kill-port,https://github.com/tiaanduplessis/kill-port.git,6963218ea712c60f3c165567abc8441905f28384,CWE-078|CWE-088,CWE-078,index.js,17,analisado,Indirect uncontrolled command line
